timestamp,station,year,month,hour,day_name,season,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM
2013-03-01 00:00:00,Aotizhongxin,2013,3,0,Friday,Spring,4.0,4.0,4.0,7.0,300.0,77.0,-0.7,1023.0,-18.8,0.0,NNW,4.4
2013-03-01 04:00:00,Aotizhongxin,2013,3,4,Friday,Spring,3.0,3.0,12.0,12.0,300.0,72.0,-2.0,1025.2,-19.5,0.0,N,2.0
2013-03-01 06:00:00,Aotizhongxin,2013,3,6,Friday,Spring,3.0,3.0,18.0,32.0,500.0,50.0,-2.6,1026.5,-19.1,0.0,NNE,2.5
2013-03-01 07:00:00,Aotizhongxin,2013,3,7,Friday,Spring,3.0,6.0,19.0,41.0,500.0,43.0,-1.6,1027.4,-19.1,0.0,NNW,3.8
2013-03-01 13:00:00,Aotizhongxin,2013,3,13,Friday,Spring,3.0,6.0,7.0,12.0,400.0,76.0,5.3,1026.2,-19.3,0.0,NW,4.3
2013-03-01 17:00:00,Aotizhongxin,2013,3,17,Friday,Spring,10.0,23.0,11.0,15.0,400.0,74.0,4.3,1026.3,-18.7,0.0,NNE,2.8
2013-03-01 23:00:00,Aotizhongxin,2013,3,23,Friday,Spring,24.0,24.0,26.0,54.0,600.0,36.0,-0.2,1030.5,-17.4,0.0,ENE,1.4
2013-03-02 09:00:00,Aotizhongxin,2013,3,9,Saturday,Spring,10.0,14.0,47.0,62.0,700.0,29.0,0.6,1029.7,-16.7,0.0,NE,1.7
2013-03-02 10:00:00,Aotizhongxin,2013,3,10,Saturday,Spring,11.0,19.0,36.0,60.0,600.0,34.0,1.7,1028.9,-16.3,0.0,W,1.6
2013-03-02 22:00:00,Aotizhongxin,2013,3,22,Saturday,Spring,81.0,113.0,84.0,110.0,1500.0,3.0,-0.6,1022.3,-13.9,0.0,NNE,1.4
2013-03-03 04:00:00,Aotizhongxin,2013,3,4,Sunday,Spring,106.0,136.0,79.0,92.0,2799.0,2.0,-4.3,1016.9,-11.8,0.0,NNE,0.9
2013-03-03 13:00:00,Aotizhongxin,2013,3,13,Sunday,Spring,98.0,134.0,50.0,81.0,1200.0,33.0,16.0,1011.5,-13.5,0.0,W,5.9
2013-03-03 22:00:00,Aotizhongxin,2013,3,22,Sunday,Spring,54.0,105.0,28.0,90.0,1200.0,2.0,3.1,1014.1,-10.2,0.0,NNE,1.8
2013-03-04 03:00:00,Aotizhongxin,2013,3,3,Monday,Spring,12.0,34.0,6.0,12.0,,77.0,7.2,1016.9,-11.6,0.0,N,2.8
2013-03-04 11:00:00,Aotizhongxin,2013,3,11,Monday,Spring,18.0,33.0,18.0,27.0,400.0,68.0,13.1,1020.0,-13.0,0.0,NE,3.0
2013-03-04 18:00:00,Aotizhongxin,2013,3,18,Monday,Spring,25.0,44.0,13.0,43.0,600.0,75.0,11.6,1016.5,-11.3,0.0,SSW,3.4
2013-03-04 20:00:00,Aotizhongxin,2013,3,20,Monday,Spring,34.0,84.0,18.0,76.0,800.0,40.0,9.9,1016.9,-10.3,0.0,SSW,3.1
2013-03-05 00:00:00,Aotizhongxin,2013,3,0,Tuesday,Spring,71.0,108.0,66.0,78.0,1100.0,84.0,4.7,1015.2,-9.1,0.0,SW,1.6
2013-03-05 02:00:00,Aotizhongxin,2013,3,2,Tuesday,Spring,100.0,129.0,58.0,79.0,1200.0,84.0,-0.6,1014.4,-8.1,0.0,S,0.0
2013-03-05 03:00:00,Aotizhongxin,2013,3,3,Tuesday,Spring,103.0,130.0,66.0,83.0,1399.0,84.0,0.2,1014.0,-8.8,0.0,NE,1.2
2013-03-05 04:00:00,Aotizhongxin,2013,3,4,Tuesday,Spring,115.0,151.0,76.0,92.0,2299.0,84.0,1.8,1013.7,-9.5,0.0,NE,1.5
2013-03-05 20:00:00,Aotizhongxin,2013,3,20,Tuesday,Spring,205.0,244.0,106.0,189.0,2500.0,39.0,3.3,1008.7,-4.7,0.0,N,0.2
2013-03-05 23:00:00,Aotizhongxin,2013,3,23,Tuesday,Spring,226.0,269.0,147.0,184.0,4400.0,29.0,4.9,1008.4,-6.1,0.0,NE,1.4
2013-03-06 01:00:00,Aotizhongxin,2013,3,1,Wednesday,Spring,272.0,300.0,131.0,166.0,4000.0,22.0,4.8,1008.3,-5.9,0.0,NE,1.5
2013-03-06 07:00:00,Aotizhongxin,2013,3,7,Wednesday,Spring,188.0,196.0,92.0,129.0,2700.0,22.0,5.7,1009.3,-5.0,0.0,NE,1.7
2013-03-06 08:00:00,Aotizhongxin,2013,3,8,Wednesday,Spring,194.0,205.0,102.0,113.0,2500.0,22.0,6.6,1009.3,-4.8,0.0,NE,1.7
2013-03-06 10:00:00,Aotizhongxin,2013,3,10,Wednesday,Spring,175.0,198.0,107.0,103.0,2600.0,22.0,8.7,1008.6,-4.5,0.0,NE,1.5
2013-03-06 19:00:00,Aotizhongxin,2013,3,19,Wednesday,Spring,242.0,338.0,124.0,164.0,3700.0,17.0,5.1,1007.6,-2.5,0.0,WSW,1.2
2013-03-07 00:00:00,Aotizhongxin,2013,3,0,Thursday,Spring,250.0,319.0,102.0,139.0,4000.0,17.0,1.5,1007.1,-2.6,0.0,NNE,0.8
2013-03-07 06:00:00,Aotizhongxin,2013,3,6,Thursday,Spring,306.0,366.0,41.0,114.0,5700.0,17.0,0.3,1006.6,-2.7,0.0,SW,0.4
2013-03-08 05:00:00,Aotizhongxin,2013,3,5,Friday,Spring,315.0,346.0,47.0,144.0,3200.0,84.0,1.4,999.0,-1.5,0.0,SW,0.8
2013-03-08 08:00:00,Aotizhongxin,2013,3,8,Friday,Spring,310.0,337.0,88.0,137.0,4900.0,84.0,10.9,1000.8,1.4,0.0,SE,0.7
2013-03-08 14:00:00,Aotizhongxin,2013,3,14,Friday,Spring,184.0,348.0,49.0,104.0,1800.0,84.0,17.4,998.3,1.4,0.0,ESE,4.5
2013-03-09 04:00:00,Aotizhongxin,2013,3,4,Saturday,Spring,97.0,118.0,52.0,97.0,2399.0,68.0,1.8,992.0,-2.3,0.0,E,0.0
2013-03-09 08:00:00,Aotizhongxin,2013,3,8,Saturday,Spring,104.0,139.0,70.0,82.0,2100.0,68.0,8.4,994.1,-1.7,0.0,E,2.6
2013-03-09 18:00:00,Aotizhongxin,2013,3,18,Saturday,Spring,17.0,205.0,4.0,10.0,300.0,81.0,7.4,1015.9,-19.3,0.0,NNE,4.8
2013-03-09 22:00:00,Aotizhongxin,2013,3,22,Saturday,Spring,11.0,34.0,6.0,8.0,300.0,82.0,3.8,1021.2,-17.8,0.0,NNE,1.2
2013-03-10 00:00:00,Aotizhongxin,2013,3,0,Sunday,Spring,11.0,15.0,6.0,16.0,400.0,82.0,-0.5,1020.8,-13.4,0.0,N,0.0
2013-03-10 01:00:00,Aotizhongxin,2013,3,1,Sunday,Spring,11.0,16.0,10.0,25.0,400.0,82.0,-0.2,1021.1,-11.6,0.0,W,1.0
2013-03-10 06:00:00,Aotizhongxin,2013,3,6,Sunday,Spring,18.0,21.0,21.0,73.0,800.0,82.0,-2.0,1022.5,-11.8,0.0,N,0.0
2013-03-11 01:00:00,Aotizhongxin,2013,3,1,Monday,Spring,95.0,156.0,57.0,78.0,1100.0,84.0,-0.7,1018.0,-7.3,0.0,SW,0.7
2013-03-11 03:00:00,Aotizhongxin,2013,3,3,Monday,Spring,96.0,138.0,56.0,78.0,1100.0,84.0,-2.1,1017.2,-6.5,0.0,N,0.6
2013-03-11 08:00:00,Aotizhongxin,2013,3,8,Monday,Spring,113.0,184.0,71.0,77.0,2600.0,84.0,3.1,1017.5,-8.6,0.0,NE,1.8
2013-03-11 10:00:00,Aotizhongxin,2013,3,10,Monday,Spring,141.0,205.0,102.0,97.0,2500.0,84.0,6.7,1016.0,-8.1,0.0,NNE,1.4
2013-03-11 11:00:00,Aotizhongxin,2013,3,11,Monday,Spring,140.0,198.0,96.0,105.0,2299.0,84.0,7.6,1015.0,-8.1,0.0,N,1.3
2013-03-11 12:00:00,Aotizhongxin,2013,3,12,Monday,Spring,149.0,207.0,99.0,118.0,2200.0,84.0,9.7,1013.4,-7.5,0.0,NNW,1.6
2013-03-11 21:00:00,Aotizhongxin,2013,3,21,Monday,Spring,174.0,246.0,124.0,121.0,2200.0,47.0,9.6,1009.8,-2.7,0.0,SSW,1.5
2013-03-11 23:00:00,Aotizhongxin,2013,3,23,Monday,Spring,113.0,145.0,62.0,97.0,1300.0,47.0,8.6,1008.0,-4.6,0.0,SSE,1.1
2013-03-12 02:00:00,Aotizhongxin,2013,3,2,Tuesday,Spring,125.0,159.0,56.0,86.0,1899.0,47.0,5.3,1005.8,-1.0,0.0,ESE,0.2
2013-03-12 03:00:00,Aotizhongxin,2013,3,3,Tuesday,Spring,117.0,127.0,73.0,81.0,,47.0,6.4,1005.8,-1.0,0.1,N,2.2
2013-03-12 04:00:00,Aotizhongxin,2013,3,4,Tuesday,Spring,112.0,140.0,68.0,81.0,1399.0,47.0,4.3,1006.3,1.5,0.4,E,0.9
2013-03-12 09:00:00,Aotizhongxin,2013,3,9,Tuesday,Spring,116.0,90.0,16.0,76.0,1600.0,47.0,3.4,1006.6,2.2,0.0,NNE,1.3
2013-03-12 10:00:00,Aotizhongxin,2013,3,10,Tuesday,Spring,123.0,94.0,16.0,71.0,1700.0,47.0,3.7,1006.8,2.2,0.0,N,0.9
2013-03-12 14:00:00,Aotizhongxin,2013,3,14,Tuesday,Spring,139.0,102.0,15.0,67.0,1600.0,47.0,5.6,1007.1,2.9,0.0,NNE,1.6
2013-03-12 15:00:00,Aotizhongxin,2013,3,15,Tuesday,Spring,135.0,93.0,15.0,63.0,1600.0,39.0,6.4,1007.6,3.2,0.0,N,1.5
2013-03-12 16:00:00,Aotizhongxin,2013,3,16,Tuesday,Spring,133.0,102.0,17.0,63.0,1500.0,28.0,6.6,1008.1,3.2,0.0,S,0.6
2013-03-13 00:00:00,Aotizhongxin,2013,3,0,Wednesday,Spring,22.0,22.0,28.0,21.0,400.0,56.0,3.4,1018.5,-7.1,0.0,NNW,0.9
2013-03-13 02:00:00,Aotizhongxin,2013,3,2,Wednesday,Spring,10.0,10.0,12.0,16.0,300.0,68.0,2.8,1019.3,-8.9,0.0,N,2.4
2013-03-13 16:00:00,Aotizhongxin,2013,3,16,Wednesday,Spring,3.0,6.0,11.0,26.0,400.0,77.0,9.1,1021.9,-12.1,0.0,S,1.8
2013-03-13 23:00:00,Aotizhongxin,2013,3,23,Wednesday,Spring,42.0,45.0,21.0,74.0,800.0,77.0,2.9,1024.1,-5.5,0.0,S,2.3
2013-03-14 00:00:00,Aotizhongxin,2013,3,0,Thursday,Spring,62.0,113.0,19.0,71.0,1100.0,77.0,2.5,1024.2,-3.8,0.0,SSW,2.4
2013-03-14 11:00:00,Aotizhongxin,2013,3,11,Thursday,Spring,111.0,112.0,67.0,66.0,1600.0,77.0,5.5,1022.3,-3.6,0.0,S,1.2
2013-03-14 18:00:00,Aotizhongxin,2013,3,18,Thursday,Spring,115.0,136.0,99.0,74.0,1100.0,52.0,6.8,1018.4,-2.9,0.0,SSW,1.6
2013-03-14 22:00:00,Aotizhongxin,2013,3,22,Thursday,Spring,140.0,158.0,54.0,100.0,1600.0,52.0,1.4,1018.2,-1.8,0.0,SE,0.0
2013-03-15 05:00:00,Aotizhongxin,2013,3,5,Friday,Spring,166.0,177.0,33.0,80.0,2200.0,52.0,0.7,1016.1,-2.5,0.0,NE,1.2
2013-03-15 08:00:00,Aotizhongxin,2013,3,8,Friday,Spring,164.0,174.0,71.0,70.0,2100.0,52.0,4.2,1016.5,-2.2,0.0,NE,1.4
2013-03-15 09:00:00,Aotizhongxin,2013,3,9,Friday,Spring,172.0,185.0,117.0,75.0,2200.0,52.0,6.4,1015.9,-2.5,0.0,NNE,1.4
2013-03-15 10:00:00,Aotizhongxin,2013,3,10,Friday,Spring,173.0,186.0,118.0,75.0,2000.0,4.0,8.1,1015.1,-2.0,0.0,SE,1.6
2013-03-15 12:00:00,Aotizhongxin,2013,3,12,Friday,Spring,110.0,331.0,125.0,91.0,1700.0,17.0,10.3,1013.2,-2.1,0.0,WSW,1.6
2013-03-15 15:00:00,Aotizhongxin,2013,3,15,Friday,Spring,256.0,305.0,102.0,147.0,2299.0,52.0,12.3,1010.9,-0.3,0.0,S,2.0
2013-03-15 23:00:00,Aotizhongxin,2013,3,23,Friday,Spring,353.0,430.0,77.0,138.0,3200.0,44.0,7.3,1015.5,0.7,0.0,NNE,1.5
